奶茶	奶绿	182674
南乳肉	梅菜扣肉,东坡肉	39680,8233
馄飩	馄饨,小馄饨	570957,76117
叉烧鸡	咖喱鸡,香酥鸡,肉鸡,蜜汁鸡,飘香鸡	112613,85413,56811,33060,4716
薏米粉	玉米糊	1204
罗汉笋	笋尖,竹笋片,宝塔笋	51175,846,74
黄翅鱼	黄鳝,甲鱼,桂鱼,子鱼,昂刺鱼	26988,25707,22827,21555,17940
气锅鸡	猪肚鸡,炖鸡汤,椰子鸡,浸鸡	11487,8094,1131,362
炒笋	炒鱿鱼,炒青菜,炒腰花,野笋,烧笋	17124,10875,4237,3024,1676
炒豆	炒肝	2748
炒肠	苦肠	2669
对翅	鸡翅,烤翅,翅根,全翅,炸鸡翅	490792,181418,112069,45126,15401
羔羊	羊肉片,肥羊卷	37279,4867
肠面	卤面,菜面,干面,米面,手工面	57648,54180,52387,49736,29295
大豫竹	大骨面	4267
脆瓜	酱黄瓜	7024
辣凤	香辣鸭	55479
腿堡	牛肉堡,琵琶腿,鲜虾堡,全腿,七虾堡	39358,29829,26251,25028,15195
鱼米花	鸡米花,鱿米花,虾米花	91063,2418,288
蛋肉	肉蛋	52559
海帶	海菜,海蛰丝	6947,497
杂肝	羊杂汤	8314
鸽粥	鸡粥,鱼粥,鱼片粥,蟹粥,海鲜粥	30668,18272,13286,10024,7712
抓抓粉	卷粉,鸭粉丝,稀豆粉	14121,5815,665
盒面	酸菜面,卤肉面	21563,14855
鸭脯肉	鸭肠,里脊肉,牛肉卷,鸭胸,蟹肉棒	101052,88380,27796,23302,16635
百吉饼	白吉馍,掉渣饼,角饼,熏肉大饼,夹肉饼	3545,2562,2046,1765,1393
椰糕	马拉糕,马蹄糕,千层糕	2654,1587,1507
酒粮	酒酿,酒酿汤圆	36597,320
生菜包	榄菜	48070
柠檬酱	芥末酱	4158
节瓜	南瓜,葫芦瓜,胜瓜	318337,1773,1080
冻蟹	梭子蟹,花蟹,海蟹,帝王蟹,面包蟹	24704,13478,4528,3531,3444
猪劲肉	猪排,猪手,鸡腿肉,小肉,叉烧肉	134778,80586,48182,27509,17107
多春魚	多春鱼	13574
猪里脊肉	猪五花,猪大肠,鸡脯肉,猪大排,猪小排	14369,12140,4282,0,0
叶儿耙	叶儿粑	347
牛肉排	鸡肉,肉串,骨肉相连,纯肉肠,大肉肠	857998,201638,52536,6802,2555
鸭酱	北京烤鸭,片皮鸭,鸭饼,葱酱饼	14387,1792,1294,412
七虾	虾堡,鲜虾堡,全虾堡,虾柳堡	60055,26251,1077,6
薯叶	番薯藤,黄叶菜	314,172
薯圆	芋圆	181011
小盆鸡	大盘鸡,小盘鸡,中盘鸡	33036,4039,262
牛心	牛肚,牛腱子,牛宝,牛肠,牛腰	216315,18683,7801,7185,4970
炖奶	双皮奶,牛奶冰,姜撞奶,雙皮奶	126267,27352,3666,152
口福饼	烧饼,油饼,煎饼果子,饼子,鸡蛋灌饼	85499,27162,25989,13386,6552
老椰	椰青,椰子饭	27688,386
墨鱼蛋	秋刀鱼,鱼饼,炸鱼,多春鱼,鱼滑	40649,32333,19834,13574,6524
炸菜果	炸花,炸鱼丸,炸炸	12110,2130,1494
炸丸	炸串,炸肠,炸炸	9367,3911,1494
猪腿肉	猪大肠,毛猪,肥肉,猪蹄膀,猪小排	12140,8831,4652,2170,0
鸡脆	烤鸡,原味鸡,脆香排	359840,74662,276
汤底	海鲜汤,牛尾汤,皇汤面	9428,1148,60
奶干	奶豆	15393
唐杨棒	唐杨串	59
鱼板烧	鱼豆腐,鱼排,鱼卷,鱿鱼卷,鱼味卷	196860,60647,50866,8577,4280
素三样	地三鲜	20817
剁肉	腊肉,小炒肉,扣肉,粉蒸肉,米粉肉	247334,95328,83190,10938,1995
炸石蛋	实蛋,炸串,炸鱼丸,炸饼,毛蛋	11360,9367,2130,1439,1222
裙带丝	海带丝,裙带菜,芥菜丝,海藻丝	120610,8219,2052,1012
黄果	白果	23221
干饼	油饼,饼子,酱香饼,单饼,发面饼	27162,13386,3355,2480,2307
干粥	瘦肉粥,干贝,红枣粥,鱼片粥,鸡丝粥	86580,54470,13950,13286,12218
黄飞	黄蚬子,飞蟹	7129,1180
笔管鱼	刀鱼,黄花鱼,鲅鱼,鲤鱼,青鱼	53784,48598,19401,18840,16451
炒方	炒饼	42811
油醋面	杂酱面,素面,豌杂面,豌豆面,宜宾燃面	30580,10316,5770,1810,1164
鲫鱼汤	蛋汤,豆腐汤,片汤,冬瓜汤,三鲜汤	101494,48890,41184,11362,9534
白椒	白辣椒	5990
蛋粉	炒粉,瘦肉粉,三鲜粉,腰花粉,猪油粉	149594,7474,7341,1082,15
豆扣	香豆腐,豆排,豆腐块,豆腐果,豆结	27804,25941,2133,1680,1193
菠蘿包	菠萝包,猪扒包,菠萝油,猪仔包,榴莲包	10120,5419,2217,1002,363
叉鹅饭	烧鹅,叉烧饭,切鸡饭,咸鸡饭,拼鸭饭	44075,39174,17355,1674,1042
苏伯汤	牛肉汤,蛋花汤,紫菜汤,酸辣汤,酱汤	86505,53646,25145,17247,14798
赤虾	红虾,甜虾,北极虾,赤贝,牡丹虾	17055,13623,1962,1849,1413
猪骨煲	面筋煲	963
霉干菜	咸菜,梅干菜,腊菜,梅干莱	114341,37526,244,92
姜酒	沙姜	11377
餐蛋饭	海鲜饭,四宝饭,双宝饭,餐蛋面	5632,2646,255,197
撈面	捞面,公仔面,斋面,餐蛋面	36126,18261,518,197
奥鹅	鹅翅	6196
糍耙	糍粑	25771
胡辣鱼	藤椒鱼,豆花鱼,冷锅鱼,来凤鱼,太安鱼	5302,2783,331,231,206
鸭腱	鸭肠,鸭胗,鸭肉,鸭心,鸭肝	101052,87689,54511,32719,12927
薯一薯	薯格,笑脸薯,粗薯,薯宝	61247,7493,7340,2119
定远	清远鸡	8932
冷汤	海鲜汤,蘑菇汤,牛骨汤,蔬菜汤,南瓜汤	9428,4493,4075,3212,2259
香骨鸡	鸡排,鸡米花,盐酥鸡,鸡锁骨,脆脆鸡	915116,91063,31642,8388,3881
瘦牛肉	牛心管,牛腰子,蒜瓣肉,牛大筋,牛双筋	3413,1295,390,60,24
猪口条	猪头肉,猪耳朵,猪尾巴,猪舌头,猪肘子	65479,54828,10366,6843,4598
冰可	冰美式,热可可	12161,6708
鱼面	鱼片,鱼汤,鱼汤面,牛蛙面	158877,24182,1842,1234
软哨	脆哨	7631
水笋	莴笋叶,窝笋片	1184,136
大面包	切片面包,吐司面包,排包,欧包,奶酪包	22229,16827,16458,7598,4291
香蒜	香葱	127002
香花	花生果	1617
牛肉汤	牛腩面,牛骨,牛骨汤,牛筋汤,鸭肉汤	22463,19289,4075,1251,709
手抓面	炸酱面,长排面,杠面	80841,99,43
珠江面	面条,玉米面,荞麦面,阳春面,绿豆面	112956,26142,17403,4868,2970
豆腐块	豆皮,豆腐皮,香豆腐,豆泡,嫩豆腐	180583,55779,27804,24909,23417
鸭粉丝	筒骨粉,稀豆粉,鸭杂汤,鸭杂面,沙煲粉	1935,665,631,479,325
长排	大排,大排面	6,0
大马哈鱼	银鳕鱼,安康鱼,比目鱼,鲥鱼,大对虾	5596,3723,2471,299,19
长豆	豆角,刀豆,炒豆子	415752,11299,75
胃菜	蔬菜锅	1244
牛健	牛腱,酱牛肉,牛肝,牛腱肉,牛花腱	35947,25081,10178,4585,73
碗面	牛肉面,拉面,豚骨面,辛拉面,伊面	634624,344370,68068,36424,22611
跳跳虾	虾米饺,虾糕,虾味卷,虾味丸,虾迷饺	4369,3584,828,612,262
蒸飯	蒸饭	26056
菌菇粥	鲜粥,香菇粥	9743,7934
小尾羊	羊肉片	37279
奶捞	水果捞,鲜果捞,炒奶果	101373,9661,883
奶条	奶豆	15393
甘栗	大栗	540
木糠盒	木糠杯	7012
刁子	松子鱼	285
烧四宝	烧茄子,烧双菌	57166,61
涼菜	凉拌菜,山野菜	5565,3387
泡笋	泡椒,竹笋,笋尖,脆笋,鲜笋	398729,68323,51175,41350,10223
炸虾球	芙蓉虾	2589
爪翅煲	三鲜煲	1054
干鍋	干锅	306051
墨斗鱼	鱿鱼,墨鱼,鱿鱼须,鲍鱼,鱼排	604386,128691,68125,66681,60647
腿骨	棒骨,羊腿,羊小腿	20601,18039,579
凉肉	凉拌菜,凉鸡	5565,1463
凉汤	凉拌面	19897
酱椒	剁椒	91388
梗粉	素粉,牛骨粉,肠旺粉,担担粉,猪油粉	18327,1069,506,447,15
絲瓜	胜瓜	1080
虾米花	鸡米花,花枝丸,蝴蝶虾,虾串,鱿米花	91063,8366,5972,2534,2418
塞肉	包肉,肉丸子,蛋白肉,三层肉	25485,24376,1210,0
拌海蜇	拌黄瓜,海蜇皮,拌青瓜,拌三丝,拌鸭肠	23582,2814,1952,1571,1492
角饼	油饼,饼子,烩饼,烙饼,葱花饼	27162,13386,4984,3842,2506
豆腐汤	蛋汤,鸡蛋汤,蛋花汤,片汤,肉片汤	101494,55706,53646,41184,24450
活鸭	番鸭	8380
昂公鱼	鲫鱼,黑鱼,草鱼,鲈鱼,鲳鱼	98502,70156,66503,44766,44651
卤大	卤笋,鸭大腿	626,505
蒲菜	炖菜	4178
枣茶	姜母茶	7148
烧萝卜	烧茄子,萝卜丝	57166,40245
鳝面	片面,黄鱼面,蟹面,姜汤面,姜蛋面	38294,1788,885,742,53
紫薯粉	红薯粉,宽粉,地瓜粉,川粉,空心粉	60354,59960,8525,5987,1804
西紅柿	西红柿	243481
鳳爪	凤爪	295112
土豆皮	烤豆腐	5944
香仔肠	台湾肠	1298
糟糕	枣糕	23835
鱼无刺	藤椒鱼,石锅鱼,梭边鱼,凌波鱼,冷锅鱼	5302,2796,1851,828,331
面卷	菜卷,面肠	27563,1728
鸭干	鸭肠,鸭胗,鸭心,鸭食管,鸭肝	101052,87689,32719,14091,12927
油螺	花螺,香螺,海螺丝,角螺,玉螺	15582,13427,8113,826,790
鱼豆腐	鱼丸,豆皮,鱼排,香豆腐,鱿鱼卷	242046,180583,60647,27804,8577
刀面	菜面,杂面,面鱼,素面,三鲜面	54180,52051,12198,10316,7966
高旦面	擀面皮,油丝面	20288,153
肉狗	热狗,肉排,纯肉肠,大肉肠,牛肉排	229613,38878,6802,2555,2168
白花菜	白萝卜,鸡毛菜,木耳菜,红苋菜,香麦菜	51486,16303,14968,12781,5933
花鱼	鲈鱼,桂鱼,青鱼,杂鱼,石斑鱼	44766,22827,16451,11996,6964
野菌	菌菇	100744
咸拼	咸鸭,咸鸡,咸烧白	70302,12470,1018
香鸭	啤酒鸭,姜母鸭,甜皮鸭	36716,2365,1261
鸡枞菌	牛肝菌	6390
码粉	盖浇粉	328
狗脚	猪脚,牛脚	162872,2038
菜豆	腌菜,菜肉沫,苦菜,菜茶	24064,22005,10911,554
臘肉	肉沫,肉末,肉笋,回窝肉,梅干肉	207724,166118,3307,123,86
素锅	蔬菜锅	1244
子鱼	黑鱼,草鱼,鲈鱼,甲鱼,桂鱼	70156,66503,44766,25707,22827
素三丝	鱼香肉丝,素拼	90141,12070
青龙虾	青口贝,大明虾,濑尿虾,海白虾,赖尿虾	5951,2904,2889,2826,788
炝甘蓝	炝莲白	405
鸡米粒	鸡排,鸡翅,香鸡,鸡肉卷,鸡米花	915116,490792,308065,129771,91063
炸包	排包,菠萝包,欧包,奶酪包,奶油包	16458,10120,7598,4291,1572
鱿鱼板	多味鱼	0
炸牛	牛肉串,牛心管,炸肉丸	26436,3413,954
鸡串	鸡排,鸡翅,鸡柳,肉串,鸡脖	915116,490792,284346,201638,28765
平鱼	鲳鱼,子鱼,多宝鱼,大黄鱼,安康鱼	44651,21555,17119,12889,3723
奶球	奶卷,奶脆	4068,2590
橘子汁	梨汁,苹果汁,西瓜汁,雪梨汁,菠萝汁	107394,83902,57354,55519,15071
酸菜牛	酸菜面	21563
鱼料	酸菜鱼,酸汤鱼,香水鱼,泡菜鱼,梭边鱼	187196,9618,3077,2659,1851
豆串	豆皮,豆腐干,豆排,豆泡,嫩豆腐	180583,83951,25941,24909,23417
蒜爆肉	肉段,宫爆鸡丁,木须肉,锅包肉,京酱肉丝	22798,21323,18102,7297,7125
过江鱼	江团,滑鱼,臭桂鱼,沸腾鱼,石锅鱼	12859,4291,4240,3446,2796
袖珍菇	平菇,海鲜菇,白玉菇,蟹味菇,秀珍菇	44206,19629,15209,15089,6449
蒜茸	蒜蓉	182181
冰酿	冰桔茶	1177
烤豆	烤面	9072
饭辣	煲仔饭,牛肉饭,排骨饭,木桶饭,牛腩饭	285119,139893,125241,111736,41968
白对虾	红虾,黑虎虾,海白虾,北极虾,鳌虾	17055,3193,2826,1962,687
全腰	腰片	9171
无米	米饭,大米饭	800333,32
酱蹄	牛蹄,羊蹄,酱大骨	18916,15368,3929
酱肘	肘子,酱牛肉,酱骨,酱骨头,酱骨架	36202,25081,10567,2680,1325
肉块	肉馅	155404
碳锅	咸鸭锅	330
耦盒	茄盒,藕盒	4375,2062
宫保鸡	尖椒鸡	18116
酱尖椒	酱茄条,油焖尖椒	1797,1075
响油	油爆虾	1355
活羊	羊腰,羊鞭,羊宝,羊球,羊枪	13523,5994,4553,896,412
汤饭	汤面,汤粉,排骨汤,炖汤,瘦肉汤	247544,132601,132417,33608,28287
血块	鸭血,血豆腐,土豆块	99635,8459,3582
大卤面	打卤面	39743
胡子鱼	甲鱼,昂刺鱼,黄骨鱼,清蒸鱼,青占鱼	25707,17940,10313,1873,686
炝莲菜	老虎菜,龙须菜,芥菜丝,蘸酱菜	3886,2884,2052,1002
奶露	西米露,奶冻,奶蜜,奶卷,雙皮奶	202038,35255,4833,4068,152
白灼虾	基围虾,香辣虾,油焖大虾,基尾虾,油爆虾	54943,23844,6485,4561,1355
火龙串	牛肉串,小肉串,龙凤片,肉枣串,唐杨串	26436,5066,1776,494,59
籽蟹	梭子蟹,帝王蟹,面包蟹,石蟹,梭蟹	24704,3531,3444,935,208
姜蛋	姜汤面,姜酒面	742,26
姜鸡	芋儿鸡,跳跳鸡	2245,212
带骨	叉骨	10493
肠汤	疙瘩汤,麦虾汤,嘎达汤,片儿汤,狗肉汤	13460,449,254,180,7
鸡血面	菜面,牛杂面,面结,笋面,鸭杂面	54180,15658,1373,1276,479
整鱼	黄鱼,黑鱼,草鱼,龙利鱼,鲈鱼	108422,70156,66503,61941,44766
卤圆粉	牛肉粉,素粉,三鲜粉,杂酱粉,炸酱粉	69291,18327,7341,3802,2989
腱子	牛腱,牛腱肉,羊腱	35947,4585,975
炙烧	玉子烧,火炙虾	3470,214
荔枝茶	洛神花茶	5892
鸭瓜	鸭翅,鸭爪,鸭脖子,鸭膀	170454,60139,4455,1259
油淋	油焖尖椒	1075
油煎	煎包,油卷,油墩子	21136,4375,133
喜羊	羊肉片	37279
小鸡鸡	全鸡,鸡球,飘香鸡	29202,6135,4716
面粉	菜面,米面,线面,阳春面,手打面	54180,49736,7155,4868,1089
送锅	小火锅,部队锅	22609,492
煮汤	红豆汤	6033
肉蛋肠	瘦肉,肉肠,肠粉,肉丸汤,拉肠	402538,136467,120040,47909,3273
猪粉	猪肚,猪杂汤,粉肠,猪肺,猪大肠	172234,45047,33719,19074,12140
花串	牛肉串,小肉串,火龙串,花枝宝,唐杨串	26436,5066,1724,142,59
鹅翼	鹅翅,鹅杂,鹅头,鹅脚,鸭翼	6196,3233,2897,614,276
鱼小虾	小炒肉,红烧鱼,香辣虾,糍粑鱼,滑鱼	95328,28581,23844,6403,4291
花肠	火腿肠,猪大肠,猪小肠	361834,12140,1558
花仙鱼	鳜鱼,鲥鱼	2068,299
鲩鱼	鱼头,鲫鱼,黑鱼,草鱼,鲈鱼	107904,98502,70156,66503,44766
铁公鸡	叫花鸡	3007
菜豆花	腌菜,苦菜汤,豆花汤	24064,776,668
臭贵鱼	滑鱼,臭桂鱼,臭鳜鱼,跳水鱼,木乃鱼	4291,4240,1031,1007,44
砂钵粉	砂锅,酸辣粉,粉面,三鲜粉,杂酱粉	430873,165759,103145,7341,3802
奶皮子	冰皮	15907
本鸡	草鸡,母鸡,乌骨鸡	60044,51445,6603
布丁杯	木糠杯,奶油杯,芒果杯	7012,2642,2402
脖客	鸭脖	199105
茄鸡饭	茄酱面	121
炒闷子	焖子,炸千子	8532,50
石子馍	手工馍	759
仔姜鱼	酸菜鱼,藤椒鱼,沸腾鱼,椒麻鱼,石锅鱼	187196,5302,3446,3360,2796
羊蹄筋	羊肉,羊杂,羊肚,羊腿,牛蹄筋	451940,73854,40347,18039,15760
瓜片	炸土豆片	1302
瓜皮	苦瓜,丝瓜,地皮菜,葫芦瓜	121637,91535,3743,1773
金椒鱼	藤椒鱼,沸腾鱼,石锅鱼,豆花鱼,泡菜鱼	5302,3446,2796,2783,2659
鱼捞	鱼蛋粉	1866
熟虾	甜虾,甘虾,火炙虾	13623,402,214
蟹面	蟹粉,鱼汤面,黄鱼面,姜汤面,姜蛋面	6831,1842,1788,742,53
窝骨	脊骨,骨架,月牙骨,大骨棒,大梁骨	21763,15066,6016,896,336
墨鱼条	鱼豆腐,鱼排,鱿鱼卷,鱼味卷,鱼板烧	196860,60647,8577,4280,1564
魚蛋	鱼蛋,溏心蛋,厚蛋烧	54109,1364,599
辣鸭饭	辣鸡饭,土匪鸭,仔排饭,香鸭饭	2223,1637,960,620
薯包	薯饼	47337
汤丸	汤圆	226439
鸡筋	板筋,鸡肘,鸡拐	127670,2257,1712
鸡糕	虾糕	3584
鲜菇	香菇,菌菇,冬菇,姬菇	939473,100744,48979,4979
鸭大腿	鸭翅,鸭头,鸭架,鸭肚,鸭板肠	170454,78287,29039,8167,4597
猪什粥	鱼片粥,海鲜粥,咸骨粥,猪杂粥,粉肠粥	13286,7712,5266,3282,2469
蛋黄卷	肉松卷	11672
华鱼	鲶鱼,胖头鱼,木乃鱼	11356,6138,44
黄蚬	黄贝,黄螺,黄蛏	523,336,139
刷串	水煮串	76
回窝肉	炒肉,牛肉饭,肉笋	748040,139893,3307
地软	地皮菜	3743
瀨粉	汤桂粉	49
排骨饭	鸡饭,牛肉饭,卤肉饭,鸡腿饭,鸡肉饭	305189,139893,124370,81192,48800
水芹菜	菜苔,红苋菜,奶白菜,盖菜,塔菜	41513,12781,7637,3656,2265
乌东	乌冬,乌冬面	66680,49018
虾子肉	走油肉	328
腌猪肉	酸烂肉,扒肉条	241,118
广椒	青椒	560757
菠蘿油	菠萝包,菠萝油	10120,2217
鸽肚	鸡肚,兔肚	4433,1088
湖虾	小河虾,小虾,虾段,清炒虾仁	12479,10894,754,347
菠萝饭	糯米饭,海鲜饭,鸡油饭	9469,5632,393
鸡面	肉面,排骨面,牛腩面,卤肉面,辣酱面	714585,91944,22463,14855,1297
鸡汤	骨汤,老鸭汤,豆汤,高汤,骨头汤	265313,68416,59880,21723,12526
香葱鸡	麦香鸡	43778
圆面	绿豆面,玉带面,家常面,竹筒面	2970,2589,1205,174
枣肠	台湾肠,弹力肠,肉枣串,拉丝肠	1298,1235,494,293
椰菜	菜心,春菜,香麦菜,通菜,西生菜	94484,16696,5933,4711,4477
鸳鸯饼	蔬菜饼,芝麻饼,花生饼,包饼	21551,6356,1265,995
肠仔	蚵仔煎	206
椰冻	椰青,椰奶冻	27688,3309
花蛤蜊	文蛤,青蛤,麻蛤	9138,461,334
虱目鱼	马鲛鱼,青花鱼,三文鱼头	8996,3839,2348
软排	肋排,汤排,猪小排	39243,18785,0
面肺	饸饹面,驴蹄面	7484,16
面饺	粉饺	1648
球菜	花菜,包菜,菜花,手撕包菜,有机菜花	154568,110962,95267,42110,16786
鲢鱼头	甲鱼,桂鱼,昂刺鱼,多宝鱼,黄骨鱼	25707,22827,17940,17119,10313
肉蓉面	面皮,玉米面,擀面皮,荞麦面,朝鲜面	50733,26142,20288,17403,7384
鸭块	鱼块,啤酒鸭	68202,36716
油包	烤油边	196
绿豆粉丝	红薯粉,地瓜粉,绿豆面	60354,8525,2970
油鱼	鱿鱼,鱿鱼须,秋刀鱼,剥皮鱼,马鲛鱼	604386,68125,40649,11290,8996
奶茶	奶绿	182674
长豇豆	扁豆,刀豆	59329,11299
龙凤卷	鱼卷,牛肉卷,虾卷,鱿鱼卷,加州卷	50866,27796,25641,8577,7039
仔鹅	鹅煲	1323
肉堡	鸡肉卷,鳕鱼堡,烤堡,田园堡,全虾堡	129771,12739,11763,4384,1077
肉棒	肉串,肉条,烤肉串	201638,49191,4713
肉柳	鸡柳,肉串,鸡腿肉,肉排,烤鸡肉	284346,201638,48182,38878,22603
锅物	小火锅	22609
排包	面包,切片面包,吐司面包,菠萝包,欧包	653521,22229,16827,10120,7598
鱼虾	鱼片,香辣虾,鱼煲,鱼泡,鱼肚	158877,23844,13696,11055,11008
双蛋肠	肠粉,虾肠,拉肠,鲜虾肠,肉蛋肠	120040,3754,3273,3071,2100
烧饼油条	梅菜饼,夹肠饼	100,51
炒板	笋板	140
肺汤	羊肉汤,萝卜汤,酸菜汤,羊肠汤	13766,7813,5501,238
香驴	驴杂	5691
烧鵝	烧鹅	44075
牛肉饼	卤肉,葱油饼,牛肉包,猪肉饼,玉米饼	280103,8595,8286,7327,7198
土笋	土匪鸭	1637
薯宝	薯条,薯格,薯角,笑脸薯,粗薯	325909,61247,8377,7493,7340
粉面	米粉,汤面,河粉,汤粉,米面	470562,247544,220141,132601,49736
大炸串	炸肠,炸饼,炸鲜磨	3911,1439,250
墨魚	墨鱼	128691
雪菜面	牛杂面,馄饨面,三鲜面,鸡腿面,大肉面	15658,8712,7966,7077,3934
芋饼	芋卷,香芋卷,香芋丸	8340,3172,2720
目鱼花	鱿鱼须,开花肠,墨鱼烧,鱼肉花,鱼味丸	68125,12159,1045,262,241
牛烂	酸烂肉	241
牛犊	牛肚,黄牛肉	216315,25559
正蟹	花蟹,面包蟹,羔蟹,石蟹,籽蟹	13478,3444,1568,935,851
红菜头	冰菜	444
大螺	螺蛳,螺狮,石螺,海白螺	103564,4479,1680,305
素浇饭	笋饭,芋头饭,菜干饭	2191,491,245
炸蟹	蟹肉,炸鱼,软壳蟹	55307,19834,894
汤鱼	鱼头,鱼羊鲜	107904,425
鸡冠	鸡头,鸡手,鸡爪子	12799,9615,3675
鸡中	鸡翅,翅中,中翅,鸡脚,手撕鸡	490792,134064,71694,41988,38912
茄子饭	盖饭,鸡饭,牛肉饭,排骨饭,卤肉饭	745755,305189,139893,125241,124370
汤河	汤粉,猪杂汤,粿汤,鸭肉汤,鸭杂汤	132601,45047,1747,709,631
平锅	干锅,一锅鲜,炝锅鱼	306051,2959,1098
烤肉饭	拌饭,烤肠,鸡排饭,桶饭,鸡肉饭	432950,219509,135196,116384,48800
送米	大米饭	32
干墨鱼	干贝,多宝鱼,大黄鱼,鳜鱼	54470,17119,12889,2068
爆辣面	牛蛙面	1234
香椿头	香椿芽	4481
莜麦菜	生菜,娃娃菜,菜花,小白菜,大白菜	122719,109314,95267,78988,77320
油淋鸡	手撕鸡,椒麻鸡,盐鸡,葱油鸡,酱油鸡	38912,18312,12659,5633,4284
燕肉	燕饺,肉燕	20367,9569
毛圆汤	蛋汤,鸡蛋汤,豆腐汤,肉片汤,冬瓜汤	101494,55706,48890,24450,11362
蒜叶	大蒜,蒜苔,蒜苗,蒜台	128990,127662,67839,29644
牛腿肉	牛腱子,猪梅肉	18683,2137
跳面	格格面	30
黄汤	酸汤,菌汤,酸菜汤	88160,34407,5501
黄炸	黄瓜片	4482
干馍	肉夹馍,白吉馍,菜夹馍,肉加馍,卷馍	121139,3545,2285,2093,1273
茶香鹅	香肠	620492
辛拉	拉面	344370
炒餅	炒面,蛋炒饭,炒饼,炒花饭,炒圆粉	327849,199599,42811,889,529
辣丝	辣菜,芥菜丝,素三丝,干豆丝	10220,2052,1530,986
枸杞茶	姜茶,姜母茶	35626,7148
腿肉	五花肉,肉卷,腿排,小肉,全腿	326174,294919,73819,27509,25028
腰尾面	鸭面,瘦肉面,水潺面,猪什面,姜蛋面	10675,3417,133,70,53
芝麻酥	酥饼,桃酥,花生酥,芝麻饼	67972,31033,13348,6356
辣子鱼块	辣子鸡,鱼香肉丝,辣子鸡丁,鱼香茄子,滑鱼	112727,90141,26300,19844,4291
角粉	肠粉,瘦肉粉,陈村粉,粉团,斋粉	120040,7474,2681,623,603
早堂面	姜鸭面,肠旺面,八珍面,干绍面,腰肚面	706,558,255,123,67
骨煲	土鸡煲,脊骨汤,胴骨	2131,851,254
仔姜美蛙	馋嘴蛙,跳跳蛙,跳水蛙,仔姜兔,仔姜鸡	3436,3094,544,386,208
河牛	牛河,斋河	4875,417
包心	水晶包,蟹黄包,彩虹包,大福包,翡翠包	9162,1128,229,226,65
紫叶生菜	紫甘蓝,鸡毛菜,红苋菜,奶白菜,快菜	16930,16303,12781,7637,4803
冰淇林	冰淇淋,冰激凌,冰激淋,冰淇凌	521531,52755,7541,3957
罐饼	炒饼,菜煎饼,灌饼,熏肉大饼	42811,12070,9235,1765
黄桃派	水果派,香芋派,红豆派,菠萝派,苹果派	7183,5603,5148,3056,2088
味鸡	炸鸡,香鸡,脆皮鸡,童子鸡,烤全鸡	352513,308065,282697,52682,6248
鱼肉花	蟹肉棒,桂花肠,开花肠,墨鱼烧,鱼味丸	16635,14706,12159,1045,241
土爽面	炸酱面,卤面,菜面,米面,杂酱面	80841,57648,54180,49736,30580
鱼饺	墨鱼,虾饺,鱼滑,鱼皮饺,鱼圆	128691,29017,6524,3374,2966
辣木面	豌杂面,辣鸡粉,豆花面,八珍面	5770,1545,1006,255
高菜	泡菜饼	754
鸭菜	鸭头,鸭食管,鸭肝,鸭肚,鸭板肠	78287,14091,12927,8167,4597
油栗	炒栗子	1891
蜡肠	火腿肠,腊肠,鸭肠,亲亲肠,脆皮肠	361834,146589,101052,28127,23530
田鸡腿	田螺	51626
鹅粉	鹅肉,卤鹅,鹅头,烤鹅,熏鹅	10791,9355,2897,1872,1191
白宽粉	红薯粉,川粉,芋头粉,细粉丝,荷叶粉	60354,5987,2620,1593,1045
仔鸭	咸鸭,啤酒鸭,仔鸡,土匪鸭	70302,36716,22990,1637
仔面	豚骨面,伊面,海鲜面,大骨面,鸡汁面	68068,22611,17309,4267,1804
香蟹	肉蟹,羔蟹,蟹膏	14024,1568,723
彩虹包	水晶包,彩虹卷,蟹黄包,大福包,翡翠包	9162,1768,1128,226,65
花米	花生米,老醋花生	203625,8384
鱼饭	鸡饭,牛肉饭,排骨饭,鱼块,鸡肉饭	305189,139893,125241,68202,48800
辣三丁面	牛杂面,三鲜面,鸡腿面,大肉面,干挑面	15658,7966,7077,3934,2874
青芥末	芥末酱	4158
小蛋	鹌鹑蛋,鸟蛋,蛋白肉,小油泡	110069,5880,1210,99
烙面	浆水面,回勺面,驴蹄面	697,334,16
虾面	干面,捞面,公仔面,海鲜面,煮面	52387,36126,18261,17309,6863
仙面	面结面,长排面,猪脚面线,胴骨面	227,99,24,10
熘鱼片	熘肝尖,松鼠鱼,熘三样,西湖醋鱼	1849,351,209,34
汤和粉	胴骨汤	21
麻辣酱	辣鱼,椒麻鸡	72041,18312
葱蛋	蛋包饭,鸭蛋黄,煎双蛋,糖心蛋	46663,3443,1532,408
菜叶	菜粿	1004
烤鱼	鱿鱼须,脆鱼,烤粉,纸包鱼,乌江鱼	68125,7714,4235,2636,2413
王鸡	豉油鸡,海南鸡,沙姜鸡,荷叶鸡,麻油鸡	12240,3172,2006,1999,1344
乌鸡蛋	柴鸡蛋,鸽蛋,鸽子蛋	15471,4806,3373
黄芽菜	春菜,鸡毛菜,红苋菜,香麦菜,盖菜	16696,16303,12781,5933,3656
炸醬面	菜面,牛杂面,素面,三鲜面,鸡腿面	54180,15658,10316,7966,7077
柠檬鸡	烤鸡,炸鸡,脆鸡,香酥鸡,原味鸡	359840,352513,113851,85413,74662
